2010-02-05T18:57:58.039+0000|61043315|34515|fine|Chico Machado||59182907
2010-02-05T19:10:11.945+0000|61043314|34515|ok|Chico Machado||59182907
2010-02-06T17:23:40.306+0000|61043316|34515|About Combat Rock, chart. Combat Rock is the group's best-selling album, being certified 2x plati.|Chico Machado||59182907
2010-02-07T05:01:17.779+0000|61043317|34515|About A Whiter Shade of Pale,  debut song by the British band Procol Harum, released 12 May 1967. The sing.|Chico Machado|59182907|
2010-02-07T05:06:05.369+0000|61043320|34515|About A Whiter Shade of Pale, ded in many music compilations over the dAbout Un Monde parfait, ved succes.|Chico Machado|59182907|
2010-02-07T05:07:20.091+0000|61043318|34515|fine|Chico Machado|59182908|
2010-02-07T06:27:14.140+0000|61043323|34515|About Eric Clapton, ained blues improvisations andAbout A Whiter Shade of Pale, number one in the UK Singles C.|Chico Machado|59182908|
2010-02-07T06:37:53.950+0000|61043319|34515|About Bugs Bunny, y. Bugs has appeared in more films than any About A Whiter Shade of Pale, formance Limited in 2004 r.|Chico Machado|59182908|
2010-02-07T06:50:14.383+0000|61043324|34515|yes|Chico Machado|59182908|
2010-02-07T06:51:00.620+0000|61043321|34515|About Un Monde parfait,  the chart, thus becoming one of the biggeAbout Rashtrakuta Dynasty, s and during the r.|Chico Machado|59182909|
2010-02-07T06:53:15.539+0000|61043322|34515|fine|Chico Machado|61043321|
2010-02-07T10:06:47.093+0000|61043325|34515|About White Chalk, k are Eric Drew Feldman aAbout Un Monde parfait, est-selling singles there.|Chico Machado|59182909|
2010-02-09T04:14:52.543+0000|37341746|37759|cool|Werner Wagner||59182909
2010-02-09T04:15:32.502+0000|37341750|37759|no|Werner Wagner||59182909
2010-02-09T04:18:28.011+0000|37341745|37759|cool|Werner Wagner||59182909
2010-02-09T04:59:59.264+0000|37341757|37759|maybe|Werner Wagner||37341744
2010-02-09T05:39:57.038+0000|37341748|37759|About Diana, Princess of Wales, d on 29 July 1981, and member of the British Royal Family. She was also well known for her fund-raising work for international chariti.|Werner Wagner||37341744
2010-02-09T05:40:41.172+0000|37341756|37759|About Diana, Princess of Wales, h century. Her wedding to Charles, heir to tAbout Robert F. Kennedy, ct the boro.|Werner Wagner|37341748|
2010-02-09T08:05:22.795+0000|37341762|37759|About Jacques Chirac, full terms, the first of seven years and the About Diana, Princess of Wales, o received recognition .|Werner Wagner|37341748|
2010-02-09T08:37:27.128+0000|37341763|37759|no way!|Werner Wagner||37341744
2010-02-09T10:07:17.145+0000|37341751|37759|About Far Beyond Driven, Billboard 200. It is also the first album where Darrell Abbott is credited as Dim.|Werner Wagner|37341748|
2010-02-09T10:34:13.838+0000|37341747|37759|great|Werner Wagner||37341744
2010-02-09T11:19:44.189+0000|37341755|37759|About Enya, ntalist and songwriter. She began her mAbout Napoleon III, ting the Italians at Mentan.|Werner Wagner||37341744
